Encoder
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
Encoder                                  --
├─Linear: 1-1                            76,930
├─Linear: 1-2                            4,851
=================================================================
Total params: 81,781
Trainable params: 81,781
Non-trainable params: 0
=================================================================
Encoder to Latents 0
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
EncoderToLatents                         --
├─Linear: 1-1                            150
├─Linear: 1-2                            150
=================================================================
Total params: 300
Trainable params: 300
Non-trainable params: 0
=================================================================
Encoder to Latents 1
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
EncoderToLatents                         --
├─Linear: 1-1                            150
├─Linear: 1-2                            150
=================================================================
Total params: 300
Trainable params: 300
Non-trainable params: 0
=================================================================
Latents to Decoder 0
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
LatentsToDecoder                         --
├─Linear: 1-1                            196
=================================================================
Total params: 196
Trainable params: 196
Non-trainable params: 0
=================================================================
Latents to Decoder 1
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
LatentsToDecoder                         --
├─Linear: 1-1                            196
=================================================================
Total params: 196
Trainable params: 196
Non-trainable params: 0
=================================================================
Decoder
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
Decoder                                  --
├─Linear: 1-1                            4,900
├─Linear: 1-2                            77,616
=================================================================
Total params: 82,516
Trainable params: 82,516
Non-trainable params: 0
=================================================================
[Epoch   1 (63.08s)]	ELBO: 1313.913, 1342.716 (1458.271)	Log prob: 1332.073, 1345.704 (1472.780)	KLD: 18.159, 2.989 (14.509)	Grad: 0.072, 0.046
[Epoch   2 (59.06s)]	ELBO: 1499.347, 1523.252 (1562.974)	Log prob: 1512.534, 1525.575 (1580.530)	KLD: 13.186, 2.324 (17.555)	Grad: 0.076, 0.035
[Epoch   3 (57.89s)]	ELBO: 1552.962, 1604.777 (1608.576)	Log prob: 1565.437, 1610.010 (1626.311)	KLD: 12.475, 5.233 (17.735)	Grad: 0.087, 0.050
[Epoch   4 (52.19s)]	ELBO: 1572.818, 1633.177 (1627.697)	Log prob: 1584.487, 1639.035 (1645.107)	KLD: 11.669, 5.857 (17.409)	Grad: 0.089, 0.056
[Epoch   5 (53.50s)]	ELBO: 1584.118, 1647.229 (1641.820)	Log prob: 1595.245, 1653.268 (1658.917)	KLD: 11.126, 6.038 (17.097)	Grad: 0.089, 0.055
[Epoch   6 (56.20s)]	ELBO: 1591.839, 1656.490 (1649.445)	Log prob: 1602.746, 1662.578 (1666.586)	KLD: 10.907, 6.087 (17.141)	Grad: 0.093, 0.053
[Epoch   7 (57.88s)]	ELBO: 1597.485, 1663.174 (1653.490)	Log prob: 1608.236, 1669.337 (1670.946)	KLD: 10.752, 6.163 (17.456)	Grad: 0.091, 0.053
[Epoch   8 (60.06s)]	ELBO: 1601.724, 1668.578 (1658.080)	Log prob: 1612.402, 1674.826 (1674.829)	KLD: 10.680, 6.248 (16.750)	Grad: 0.089, 0.053
[Epoch   9 (83.60s)]	ELBO: 1605.078, 1672.850 (1662.745)	Log prob: 1615.690, 1679.132 (1679.499)	KLD: 10.612, 6.281 (16.754)	Grad: 0.091, 0.052
[Epoch  10 (77.42s)]	ELBO: 1607.965, 1676.332 (1665.822)	Log prob: 1618.550, 1682.631 (1683.004)	KLD: 10.584, 6.300 (17.182)	Grad: 0.089, 0.052
[Epoch  11 (75.55s)]	ELBO: 1610.675, 1679.396 (1668.636)	Log prob: 1621.210, 1685.724 (1685.582)	KLD: 10.534, 6.328 (16.946)	Grad: 0.088, 0.052
[Epoch  12 (75.19s)]	ELBO: 1612.802, 1681.926 (1670.945)	Log prob: 1623.328, 1688.244 (1687.627)	KLD: 10.525, 6.317 (16.682)	Grad: 0.088, 0.053
[Epoch  13 (79.66s)]	ELBO: 1614.789, 1684.138 (1671.549)	Log prob: 1625.296, 1690.474 (1688.161)	KLD: 10.506, 6.336 (16.612)	Grad: 0.088, 0.053
[Epoch  14 (82.80s)]	ELBO: 1616.627, 1686.102 (1674.073)	Log prob: 1627.129, 1692.429 (1690.717)	KLD: 10.504, 6.324 (16.644)	Grad: 0.088, 0.053
[Epoch  15 (78.04s)]	ELBO: 1617.996, 1687.622 (1674.305)	Log prob: 1628.498, 1693.947 (1690.872)	KLD: 10.501, 6.325 (16.566)	Grad: 0.090, 0.053
[Epoch  16 (77.02s)]	ELBO: 1619.723, 1689.420 (1675.549)	Log prob: 1630.226, 1695.763 (1692.087)	KLD: 10.501, 6.343 (16.539)	Grad: 0.089, 0.053
[Epoch  17 (75.56s)]	ELBO: 1621.034, 1690.796 (1677.680)	Log prob: 1631.522, 1697.113 (1694.395)	KLD: 10.489, 6.317 (16.715)	Grad: 0.089, 0.053
[Epoch  18 (71.30s)]	ELBO: 1622.337, 1692.133 (1678.213)	Log prob: 1632.834, 1698.468 (1695.318)	KLD: 10.498, 6.335 (17.105)	Grad: 0.087, 0.052
[Epoch  19 (75.30s)]	ELBO: 1623.625, 1693.242 (1679.381)	Log prob: 1634.141, 1699.575 (1695.940)	KLD: 10.515, 6.334 (16.559)	Grad: 0.090, 0.053
[Epoch  20 (73.95s)]	ELBO: 1624.761, 1694.501 (1681.487)	Log prob: 1635.283, 1700.821 (1698.059)	KLD: 10.521, 6.320 (16.571)	Grad: 0.090, 0.053
[Epoch  21 (75.91s)]	ELBO: 1625.764, 1695.375 (1680.768)	Log prob: 1636.288, 1701.712 (1697.553)	KLD: 10.524, 6.338 (16.785)	Grad: 0.092, 0.053
[Epoch  22 (73.11s)]	ELBO: 1626.889, 1696.659 (1682.016)	Log prob: 1637.444, 1702.984 (1698.993)	KLD: 10.556, 6.324 (16.977)	Grad: 0.089, 0.053
[Epoch  23 (80.88s)]	ELBO: 1627.917, 1697.564 (1684.403)	Log prob: 1638.503, 1703.877 (1701.149)	KLD: 10.585, 6.313 (16.746)	Grad: 0.090, 0.053
[Epoch  24 (76.66s)]	ELBO: 1628.688, 1698.283 (1684.245)	Log prob: 1639.298, 1704.615 (1701.023)	KLD: 10.611, 6.330 (16.778)	Grad: 0.089, 0.052
[Epoch  25 (75.95s)]	ELBO: 1629.569, 1699.153 (1685.331)	Log prob: 1640.188, 1705.467 (1702.524)	KLD: 10.618, 6.313 (17.193)	Grad: 0.091, 0.052
[Epoch  26 (81.12s)]	ELBO: 1630.443, 1700.023 (1684.931)	Log prob: 1641.084, 1706.344 (1702.229)	KLD: 10.641, 6.321 (17.298)	Grad: 0.091, 0.052
[Epoch  27 (75.56s)]	ELBO: 1631.063, 1700.728 (1685.270)	Log prob: 1641.734, 1707.064 (1702.099)	KLD: 10.670, 6.336 (16.829)	Grad: 0.092, 0.052
[Epoch  28 (75.01s)]	ELBO: 1631.835, 1701.432 (1685.798)	Log prob: 1642.513, 1707.749 (1702.882)	KLD: 10.677, 6.317 (17.084)	Grad: 0.092, 0.053
[Epoch  29 (74.41s)]	ELBO: 1632.505, 1701.937 (1686.228)	Log prob: 1643.209, 1708.283 (1703.380)	KLD: 10.703, 6.347 (17.152)	Grad: 0.092, 0.053
[Epoch  30 (75.03s)]	ELBO: 1632.832, 1702.386 (1686.905)	Log prob: 1643.556, 1708.724 (1703.816)	KLD: 10.724, 6.337 (16.910)	Grad: 0.093, 0.053
[Epoch  31 (78.25s)]	ELBO: 1633.680, 1703.052 (1687.737)	Log prob: 1644.390, 1709.420 (1705.045)	KLD: 10.711, 6.368 (17.307)	Grad: 0.091, 0.052
[Epoch  32 (76.55s)]	ELBO: 1634.339, 1703.748 (1687.719)	Log prob: 1645.099, 1710.076 (1705.150)	KLD: 10.759, 6.328 (17.431)	Grad: 0.091, 0.052
[Epoch  33 (73.44s)]	ELBO: 1634.908, 1704.225 (1686.853)	Log prob: 1645.705, 1710.540 (1703.926)	KLD: 10.796, 6.315 (17.074)	Grad: 0.091, 0.052
[Epoch  34 (72.57s)]	ELBO: 1635.191, 1704.513 (1688.623)	Log prob: 1645.992, 1710.846 (1705.829)	KLD: 10.802, 6.333 (17.206)	Grad: 0.093, 0.052
[Epoch  35 (74.65s)]	ELBO: 1635.964, 1705.157 (1688.686)	Log prob: 1646.777, 1711.473 (1706.031)	KLD: 10.813, 6.316 (17.345)	Grad: 0.092, 0.052
[Epoch  36 (72.81s)]	ELBO: 1636.319, 1705.582 (1689.695)	Log prob: 1647.149, 1711.908 (1707.019)	KLD: 10.830, 6.326 (17.324)	Grad: 0.092, 0.052
[Epoch  37 (75.07s)]	ELBO: 1636.990, 1706.042 (1688.309)	Log prob: 1647.819, 1712.375 (1705.722)	KLD: 10.829, 6.333 (17.412)	Grad: 0.092, 0.052
[Epoch  38 (76.11s)]	ELBO: 1637.299, 1706.299 (1688.950)	Log prob: 1648.154, 1712.652 (1706.137)	KLD: 10.857, 6.353 (17.188)	Grad: 0.094, 0.052
[Epoch  39 (72.53s)]	ELBO: 1637.715, 1706.743 (1689.788)	Log prob: 1648.594, 1713.080 (1706.972)	KLD: 10.877, 6.337 (17.184)	Grad: 0.094, 0.052
[Epoch  40 (72.24s)]	ELBO: 1638.061, 1707.040 (1690.245)	Log prob: 1648.943, 1713.378 (1707.712)	KLD: 10.882, 6.338 (17.468)	Grad: 0.093, 0.051
[Epoch  41 (75.58s)]	ELBO: 1638.544, 1707.584 (1690.354)	Log prob: 1649.483, 1713.932 (1707.544)	KLD: 10.939, 6.346 (17.190)	Grad: 0.093, 0.051
[Epoch  42 (72.85s)]	ELBO: 1638.980, 1707.955 (1689.727)	Log prob: 1649.889, 1714.297 (1706.681)	KLD: 10.909, 6.342 (16.954)	Grad: 0.094, 0.052
[Epoch  43 (73.37s)]	ELBO: 1639.364, 1708.299 (1689.558)	Log prob: 1650.283, 1714.635 (1706.764)	KLD: 10.920, 6.335 (17.206)	Grad: 0.094, 0.052
[Epoch  44 (71.63s)]	ELBO: 1639.939, 1708.687 (1689.673)	Log prob: 1650.861, 1715.038 (1707.147)	KLD: 10.922, 6.352 (17.474)	Grad: 0.092, 0.051
[Epoch  45 (74.41s)]	ELBO: 1640.156, 1708.972 (1690.786)	Log prob: 1651.087, 1715.312 (1708.474)	KLD: 10.932, 6.341 (17.688)	Grad: 0.094, 0.051
[Epoch  46 (73.40s)]	ELBO: 1640.329, 1709.114 (1689.955)	Log prob: 1651.301, 1715.466 (1707.154)	KLD: 10.971, 6.353 (17.198)	Grad: 0.094, 0.051
[Epoch  47 (72.98s)]	ELBO: 1640.478, 1709.223 (1690.003)	Log prob: 1651.427, 1715.553 (1707.464)	KLD: 10.948, 6.331 (17.461)	Grad: 0.094, 0.052
[Epoch  48 (72.02s)]	ELBO: 1640.960, 1709.773 (1690.421)	Log prob: 1651.962, 1716.119 (1708.163)	KLD: 11.003, 6.346 (17.741)	Grad: 0.095, 0.051
